#Natural (INST) System Magnitudes
#filter codes 1,2,3,4,5,13,14 = UBVRIr'i'
#SN
#filter MJD   INSTMAG dMAG   
sn01C
4 52258.06488 17.993 0.029
4 52267.08907 18.721 0.065
5 52220.10064 16.095 0.023
5 52221.08334 16.049 0.021
5 52222.06903 16.058 0.018
5 52225.10399 16.148 0.019
5 52228.07052 16.241 0.022
5 52231.11097 16.479 0.022
5 52235.10589 16.651 0.025
5 52257.06671 17.411 0.036
5 52258.06668 17.346 0.042
5 52267.09086 17.801 0.036
sn01gb
2 52257.46550 18.653 0.069
2 52267.51512 19.102 0.100
2 52320.27152 20.533 0.338
3 52257.46870 17.623 0.020
3 52266.48929 18.235 0.035
3 52267.51831 18.287 0.031
3 52320.27469 19.832 0.082
4 52257.47120 17.220 0.023
4 52266.49178 17.594 0.036
4 52267.52081 17.633 0.028
4 52320.27716 19.524 0.089
5 52257.47301 17.315 0.029
5 52266.49356 17.386 0.037
5 52267.52260 17.434 0.037
5 52320.27895 19.491 0.129
sn01gc
1 52257.38116 17.771 0.051
1 52262.28242 18.368 0.057
1 52267.37988 18.992 0.081
1 52320.20541 20.208 0.249
2 52257.37157 17.451 0.025
2 52262.20817 17.996 0.027
2 52262.28633 18.055 0.039
2 52266.34858 18.407 0.030
2 52267.38378 18.494 0.030
2 52320.20933 19.812 0.066
3 52257.37479 16.646 0.019
3 52262.21139 16.917 0.020
3 52262.28943 16.922 0.020
3 52266.35177 17.111 0.020
3 52267.38696 17.134 0.020
3 52320.21251 19.030 0.039
4 52257.37728 16.515 0.025
4 52262.21391 16.643 0.025
4 52262.29193 16.601 0.025
4 52266.35431 16.595 0.024
4 52267.38946 16.600 0.024
4 52320.21498 18.682 0.038
5 52257.37910 16.709 0.027
5 52262.21572 16.658 0.026
5 52262.29372 16.651 0.027
5 52266.35610 16.506 0.028
5 52267.39124 16.463 0.026
5 52320.21677 18.607 0.053
sn01ic
2 52257.16216 18.619 0.044
2 52266.14810 19.743 0.137
2 52267.14606 19.952 0.140
3 52257.16536 18.005 0.034
3 52266.15127 18.663 0.063
3 52267.14924 18.759 0.053
4 52257.16785 17.915 0.040
5 52258.09845 18.589 0.110
5 52266.15554 18.390 0.095
sn01ie
1 52257.54487 16.964 0.153
1 52260.41119 17.187 0.134
1 52265.44689 18.117 0.222
1 52266.50372 18.230 0.344
2 52257.53668 16.881 0.025
2 52260.41564 17.138 0.025
2 52293.51376 19.825 0.061
2 52320.29743 20.116 0.161
3 52257.53437 16.758 0.027
3 52257.53955 16.703 0.018
3 52260.41944 16.836 0.017
3 52266.51080 17.206 0.020
3 52285.41674 18.379 0.029
3 52293.51697 18.725 0.052
