Date	Phase	U	UErr	B	BErr	V	VErr	R	RErr	I	IErr	g	gErr	r	rErr	i	iErr	Telescope
2018-02-27.7    +14.0    INDEF   INDEF    15.159  0.045     14.963  0.022     INDEF   INDEF    INDEF   INDEF    14.964  0.014     INDEF   INDEF    15.932  0.056     LJT  
2018-03-01.6    +15.9    INDEF   INDEF    15.323  0.038     15.058  0.016     INDEF   INDEF    INDEF   INDEF    15.025  0.012     15.235  0.012     15.941  0.020     TNT  
2018-03-01.7    +16.0    INDEF   INDEF    15.312  0.043     14.977  0.015     INDEF   INDEF    INDEF   INDEF    15.062  0.013     15.164  0.010     INDEF   INDEF    LJT  
2018-03-02.1    +16.4    15.489  0.054     15.451  0.028     15.035  0.021     INDEF   INDEF    INDEF   INDEF    15.067  0.013     15.201  0.015     15.902  0.029     LCO  
2018-03-02.2    +16.5    INDEF   INDEF    15.425  0.034     15.062  0.034     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    15.157  0.028     15.859  0.052     DEMONEXT  
2018-03-02.3    +16.6    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    15.033  0.011     15.189  0.017     INDEF   INDEF    Gemini  
2018-03-02.5    +16.8    INDEF   INDEF    15.590  0.089     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    TNT  
2018-03-02.5    +16.8    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    15.210  0.012     15.897  0.016     LCO  
2018-03-03.2    +17.5    INDEF   INDEF    15.499  0.032     15.113  0.031     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    15.169  0.021     15.874  0.031     DEMONEXT  
2018-03-03.2    +17.5    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    15.126  0.009     15.202  0.018     INDEF   INDEF    Gemini  
2018-03-03.9    +18.2    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    15.213  0.008     15.850  0.013     LCO  
2018-03-04.2    +18.5    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    15.195  0.009     15.221  0.012     INDEF   INDEF    Gemini  
2018-03-04.7    +19.0    INDEF   INDEF    15.706  0.036     15.161  0.013     INDEF   INDEF    INDEF   INDEF    15.228  0.008     15.220  0.007     15.827  0.013     TNT  
